epoch,loss,mae,val_loss,val_mae
0,297.3908386230469,11.374780654907227,228.9638671875,9.708621978759766
1,204.42544555664062,8.84610652923584,203.3090362548828,8.663063049316406
2,187.10598754882812,8.226675987243652,191.51072692871094,8.348101615905762
3,166.36558532714844,7.528519153594971,186.8466033935547,8.191343307495117
4,150.00753784179688,6.839202404022217,188.3904266357422,8.355587005615234
5,137.7703094482422,6.319218635559082,191.2518768310547,8.298826217651367
6,136.11402893066406,6.204046249389648,185.51112365722656,8.285717964172363
7,129.3958282470703,5.993777751922607,178.63449096679688,7.787132740020752
8,118.96923828125,5.4935784339904785,167.3424835205078,7.498715400695801
9,116.86882781982422,5.383327007293701,198.7800750732422,8.332005500793457
10,111.03797149658203,5.116461277008057,170.2698974609375,7.5143561363220215
11,107.40699768066406,4.924101829528809,186.2122344970703,7.999175071716309
12,105.07087707519531,4.84475040435791,179.55767822265625,7.81973123550415
13,103.65901947021484,4.743597507476807,174.46913146972656,7.701309680938721
14,104.38096618652344,4.831061363220215,165.6109619140625,7.400113582611084
15,99.56080627441406,4.573248863220215,166.7632598876953,7.390601634979248
16,96.4052963256836,4.395552635192871,166.31568908691406,7.486603260040283
17,96.3404312133789,4.443267345428467,166.68148803710938,7.515895843505859
18,94.38186645507812,4.355445384979248,161.8705291748047,7.56199312210083
19,92.70807647705078,4.274721622467041,158.0370330810547,7.203161716461182
20,92.3013687133789,4.234753131866455,157.31004333496094,7.252002716064453
21,95.79969787597656,4.4162139892578125,163.51324462890625,7.519460201263428
22,87.85480499267578,3.9880127906799316,174.48838806152344,7.85134220123291
23,85.0074691772461,3.79219651222229,163.66969299316406,7.477214813232422
24,81.95556640625,3.5652246475219727,158.04275512695312,7.079171657562256
25,83.63069152832031,3.7217321395874023,158.9402313232422,7.426957607269287
26,84.53828430175781,3.8062567710876465,158.5728759765625,7.386356830596924
27,84.30917358398438,3.866936445236206,157.51422119140625,7.243317604064941
28,80.08943176269531,3.6028764247894287,168.1714630126953,7.595605373382568
29,78.9853744506836,3.4942715167999268,142.9539337158203,6.716331481933594
30,78.82352447509766,3.5234315395355225,161.75457763671875,7.5284247398376465
31,75.88433074951172,3.334990978240967,145.6869659423828,7.091353416442871
32,76.19689178466797,3.386756181716919,171.4503936767578,8.191960334777832
33,77.76904296875,3.533782958984375,159.42724609375,7.6381516456604
34,76.55745697021484,3.4730124473571777,160.495849609375,7.431468486785889
35,74.62940216064453,3.363363265991211,145.53091430664062,6.929610252380371
36,87.21593475341797,4.152013778686523,257.1557312011719,10.474952697753906
37,80.60775756835938,3.805093288421631,150.43441772460938,7.3444504737854
38,74.80094909667969,3.402341842651367,155.6959228515625,7.375328540802002
39,76.15540313720703,3.48246169090271,144.92449951171875,6.935907363891602
40,72.90515899658203,3.2329909801483154,143.9310760498047,6.920087814331055
41,71.05982208251953,3.1367263793945312,139.60113525390625,6.855429172515869
42,68.83695220947266,2.9473042488098145,149.58580017089844,6.937042236328125
43,68.08659362792969,2.9481542110443115,138.76866149902344,6.753478527069092
44,69.6648941040039,3.1319751739501953,145.7037811279297,6.87009334564209
45,68.00443267822266,3.0150015354156494,138.61773681640625,6.674373626708984
46,65.67048645019531,2.826993465423584,138.787353515625,6.746210098266602
47,64.1703872680664,2.777301549911499,134.94100952148438,6.582067012786865
48,64.5474624633789,2.811030149459839,194.7076873779297,8.237199783325195
49,67.69811248779297,3.1023035049438477,172.42909240722656,7.980629920959473
